POSTED_BY,BHK_OR_RK,UNDER_CONSTRUCTION,RERA,BHK_NO.,READY_TO_MOVE,RESALE,SQUARE_FT,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),ADDRESS
Owner,BHK,0,0,2,1,1,1300.236407,12.96991,77.59796,55,"Ksfc Layout,Bangalore"
Dealer,BHK,0,0,2,1,1,1275,12.274538,76.644605,51,"Vishweshwara Nagar,Mysore"
Owner,BHK,0,0,2,1,1,933.1597222,12.778033,77.632191,43,"Jigani,Bangalore"
Owner,BHK,0,1,2,1,1,929.9211427,28.6423,77.3445,62.5,"Sector-1 Vaishali,Ghaziabad"
Dealer,BHK,1,0,2,0,1,999.009247,22.5922,88.484911,60.5,"New Town,Kolkata"
Owner,BHK,0,0,3,1,1,1250,10.03328,76.282571,42,"South Chittoor,Kochi"
Dealer,BHK,0,0,3,1,1,1495.053957,26.916347,75.7956,66.5,"Sodala,Jaipur"
Owner,BHK,0,1,3,1,1,1181.012946,30.74,76.65,52,"Kharar,Mohali"
Dealer,BHK,0,1,2,1,1,1040,13.054202,77.674002,41.6,"Bileshivale,Bangalore"
Owner,BHK,0,1,2,1,1,879.1208791,12.95161,80.14097,36,"Chromepet,Chennai"
Owner,BHK,0,0,3,1,1,1350.308642,26.724219,88.326357,35,"Deshbandhu Para,Siliguri"
Dealer,BHK,0,0,2,1,1,1333.010179,13.04034,77.591347,110,"Hebbal,Bangalore"
Owner,BHK,0,0,2,1,1,927.1779023,12.96991,77.59796,48,"Garebhavipalya,Bangalore"
Owner,BHK,0,1,2,1,1,1122.171946,28.587711,77.403123,62,"Sector-119 Noida,Noida"
Owner,BHK,0,0,1,1,1,649.9837504,13.0352,77.5772,20,"sanjay nagar,Raigad"
Dealer,BHK,1,1,3,0,1,1394.117647,28.429614,77.481711,71.1,"Sector-150 Noida,Noida"
Owner,BHK,0,0,3,1,1,1800.08471,20.275267,85.862407,85,"Jharapada,Bhubaneswar"
Dealer,BHK,1,1,3,0,1,2124.896706,12.8855,77.5638,180,"Konanakunte,Bangalore"
Owner,BHK,0,0,2,1,1,1100,21.15389,79.08306,22,"Nagpur Road,Wardha"
Dealer,BHK,0,1,3,1,1,2178.649237,13.092356,77.613468,120,"Kogilu,Bangalore"
Owner,BHK,0,0,2,1,1,881.1435285,13.05,80.11,45,"Poonamallee,Chennai"
Dealer,BHK,0,0,2,1,1,944.8818898,18.452663,73.93104,42,"Undri,Pune"
Dealer,BHK,0,1,3,1,1,1310.147689,28.5041,77.381557,55,"Sector-134 Noida,Noida"
Dealer,BHK,0,0,1,1,1,630.00063,19.05444,72.84056,300,"Bandra (West),Mumbai"
Dealer,BHK,0,0,2,1,1,1219.80971,21.105779,79.078497,50,"Narendra Nagar,Nagpur"
Owner,BHK,0,0,2,1,1,780.141844,22.54111,88.33778,27.5,"Kudgat,Kolkata"
Owner,BHK,0,0,3,1,1,1600,28.63601,77.433724,46,"Sain Vihar,Ghaziabad"
Dealer,BHK,0,0,2,1,1,1180.412371,30.712867,76.648557,22.9,"Sector-115 Mohali,Mohali"
Owner,BHK,1,0,2,0,1,1000,24.48,86.7,39,"Mohan Asram,Deoghar"
Dealer,BHK,0,0,2,1,1,1000,28.2102,76.8606,12.5,"Alwar Bypass Road,Bhiwadi"
Dealer,BHK,0,0,3,1,1,1400.107701,28.40473,77.367514,52,"Sector 84 Faridabad,Faridabad"
Dealer,BHK,0,1,2,1,1,943.1266076,28.5041,77.381557,33,"Sector-134 Noida,Noida"
Owner,BHK,0,0,2,1,1,1150.146382,26.586306,74.873234,55,"Indra Colony,Jaipur"
Dealer,BHK,1,1,1,0,1,864.0674394,19.18,72.96333,82,"Thane West,Lalitpur"
Dealer,BHK,0,1,2,1,0,857.7861968,19.1759,72.9522,240,"Mulund (West),Maharashtra"
Owner,BHK,0,0,3,1,1,1174.210077,12.852171,80.216826,55,"Thalambur,Chennai"
Dealer,BHK,1,1,2,0,1,1020.087884,18.5993,73.7625,65,"Wakad,Pune"
Owner,BHK,0,0,4,1,1,1650.165017,22.312063,72.674296,65,"Vasna,Vadodara"
Dealer,BHK,1,0,2,0,1,1000,17.815234,83.35818,35,"Madhurawada,Visakhapatnam"
Owner,BHK,0,0,3,1,1,1300.052002,12.894088,77.548914,75,"Vasanthapura,Bangalore"
Dealer,BHK,1,1,1,0,0,40606.19568,24.69028,78.41889,9110,"Kanjur Marg (East),Lalitpur"
Dealer,BHK,0,1,2,1,1,1058.114928,18.539812,73.737678,65,"Sus,Pune"
Dealer,BHK,1,0,1,0,1,400,18.5438,73.9438,30,"Kharadi,Pune"
Dealer,BHK,0,1,3,1,1,1274.924779,22.803593,83.755013,250,"Marol,Mumbai"
Dealer,BHK,0,0,2,1,1,1026.694045,19.014858,72.8662,220,"Wadala East,Lalitpur"
Owner,BHK,0,0,2,1,1,1150.121065,20.36667,72.9,38,"Near Ambamata Mandir,Vapi"
Owner,BHK,0,0,3,1,1,1200,28.460928,77.039391,60,"Patel Nagar-II,Ghaziabad"
Dealer,RK,0,0,1,1,1,475.0103263,24.69028,78.41889,46,"Balkum,Lalitpur"
Builder,BHK,1,1,1,0,0,301.9171163,24.69028,78.41889,26.3,"Taloja,Lalitpur"
Dealer,BHK,1,1,2,0,1,1228.571429,12.843852,74.845271,51.6,"Bolar,Mangalore"
Owner,BHK,0,0,2,1,1,986.0164934,13.077175,80.151453,55,"Ayanambakkam,Chennai"
Dealer,BHK,1,1,3,0,1,1972.565158,28.431862,77.351104,71.9,"Sector 88 Faridabad,Faridabad"
Dealer,BHK,1,1,1,0,1,420.6166888,19.048403,72.88731,130,"Sindhi Society Chembur,Lalitpur"
Owner,BHK,0,0,3,1,1,1275.009808,25.232239,71.392013,32.5,"Shiv Mandir,Siliguri"
Dealer,BHK,1,1,1,0,0,406.024219,19.245347,73.124577,39.9,"Kalyan (West),Maharashtra"
Dealer,BHK,0,0,3,1,1,1862.562189,28.431862,77.351104,59.9,"Sector 88 Faridabad,Faridabad"
Owner,BHK,0,0,2,1,1,950.0146156,19.88879,75.34344,65,"Nandanwan Phases 2,Aurangabad"
Owner,BHK,0,1,4,1,1,5200.945626,28.567633,77.383124,110,"Sector-76 Noida,Noida"
Dealer,BHK,0,0,2,1,1,1049.969344,12.985039,77.54383,68.5,"Basaveshwara Nagar,Bangalore"
Dealer,BHK,0,0,3,1,1,1615.008157,22.589694,88.372957,99,"Maniktala,Kolkata"
Dealer,BHK,0,0,3,1,1,1150.0069,19.014858,72.8662,250,"Wadala East,Lalitpur"
Owner,BHK,0,0,2,1,1,1100,26.955346,75.734793,27.5,"Jhotwara,Jaipur"
Dealer,BHK,1,1,2,0,0,906.2661833,24.69028,78.41889,70,"Balkum,Lalitpur"
Owner,BHK,0,0,3,1,1,1454.333915,10.77,76.38,50,"Poolakkaparambu,Ottapalam"
Owner,BHK,0,0,3,1,1,1591.994542,28.506454,77.409568,70,"Sector-137 Noida,Noida"
Dealer,BHK,0,1,2,1,1,573.8769151,28.406388,77.342588,22.1,"Sector 86 Faridabad,Faridabad"
Dealer,BHK,0,1,3,1,1,1038.883942,19.12,72.91,280,"Powai,Mumbai"
Owner,BHK,0,0,3,1,1,1538.141758,13.11389,77.59833,74,"Yelahanka,Bangalore"
Owner,BHK,0,0,2,1,1,5000,26.850391,75.814198,85,"Malviya Nagar,Jaipur"
Dealer,BHK,0,0,3,1,1,1602.084012,28.368269,77.37273,49.2,"Sector 77 Faridabad,Faridabad"
Owner,BHK,0,0,2,1,1,1200,16.51667,80.61667,45,"Madhuranagar,Vijayawada"
Owner,BHK,0,0,2,1,1,760.07094,15.86667,74.5,60,"Tilakwadi,Belgaum"
Owner,BHK,1,0,2,0,1,739.8273736,23.25,77.41667,30,"tallaiya,Bhopal"
Owner,BHK,0,0,2,1,1,1260.02291,13.0915,74.7844,33,"Mulki,Mangalore"
Owner,BHK,0,0,2,1,1,1100.151745,21.093676,79.111965,29,"Manewada,Nagpur"
Dealer,BHK,0,1,3,1,1,2293.077091,18.5438,73.9438,210,"Kharadi,Pune"
Dealer,BHK,0,0,2,1,1,1146.480331,19.216097,72.821721,88.6,"Sector-8 Ulwe,Lalitpur"
Dealer,BHK,0,1,4,1,1,2224.059764,19.1615,72.8731,780,"Goregaon (East),Lalitpur"
Dealer,BHK,0,0,2,1,1,759.8784195,22.452032,88.298947,30,"Joka,Kolkata"
Owner,BHK,0,0,4,1,1,2260.251857,12.9506,77.5952,140,"Wilson Garden,Bangalore"
Dealer,BHK,0,0,3,1,1,767.0182167,20.742166,80.104602,240,"DN Nagar,Maharashtra"
Owner,BHK,0,0,4,1,1,2500,28.66667,77.41667,160,"Ramprastha,Ghaziabad"
Dealer,BHK,1,1,4,0,1,2286.236854,21,77,100,"Gomti Nagar Extension,Lucknow"
Owner,BHK,0,1,2,1,1,1150.086256,28.577673,77.389781,60,"Sector-74 Noida,Noida"
Dealer,BHK,0,1,2,1,1,1004.932182,18.966114,73.148278,81.5,"New Panvel,Mumbai"
Owner,BHK,0,0,2,1,1,800,22.56972,88.36972,34,"Prantik,Kolkata"
